date,consumption,production,net_production
2023-07-23,231134.16913,250374.36292100008,19240.193791000023
2023-08-07,255683.04738999996,233665.53873600002,-22017.508653999976
2023-10-03,173820.41103,176934.30380000002,3113.8927699999954
2023-09-11,234083.29734000008,217099.26969019996,-16984.02764979999
2023-07-13,268536.69476000004,279005.1536899999,10468.458929999968
2023-09-06,299956.05480000004,238770.61882950002,-61185.43597050001
2023-08-16,264321.7703000001,264505.20121400006,183.43091400000276
2023-08-23,263989.5763,270994.8403739999,7005.264073999987
2023-06-26,317983.17270000005,279181.79927679984,-38801.37342320001
2023-07-01,264667.90090999997,218007.9095703,-46659.99133969999
2023-06-16,218649.02563000013,253215.59030699998,34566.56467700001
2023-09-27,79090.16743999998,59318.17207499999,-19771.995364999995
2023-07-22,233795.46942999997,156892.88295079995,-76902.58647920004
2023-07-04,311215.09170000005,298406.31899649993,-12808.77270349999
2023-07-31,263744.43311,228408.94818309997,-35335.484926900004
2023-06-27,243750.18608999992,255378.52180733345,11628.335717333419
2023-08-11,283560.55997,234927.36545850002,-48633.19451149997
2023-06-25,316217.64397,279379.17474299995,-36838.46922699999
2023-08-28,288642.4626,166983.93221100004,-121658.53038899999
2023-07-16,289366.9949,243438.01016660008,-45928.98473339998
2023-09-14,162129.96673999997,204195.96977599993,42066.003036
2023-07-17,282800.3966000001,239784.47046999997,-43015.92613000001
2023-09-25,200930.67576000007,193840.27213699996,-7090.403623000011
2023-07-27,315679.8161000001,282252.14127799997,-33427.67482200002
2023-07-05,286630.20433,175370.467603,-111259.73672699998
2023-08-13,328991.4272,275765.107723,-53226.319477000005
2023-08-01,232735.34647000002,274606.63378240005,41871.28731239998
2023-07-18,272085.34407000005,270975.27743899985,-1110.066631000031
2023-06-02,168190.11695000003,246452.03174299997,78261.91479299997
2023-06-11,256506.43803999998,256161.94959300003,-344.48844699997744
2023-09-23,112018.13518000003,25433.440620000005,-86584.69456000002
2023-08-03,123366.73935000003,109824.26996350003,-13542.469386500003
2023-09-15,113121.47764999996,241728.83048400006,128607.35283400003
2023-09-13,176816.57404,169547.726591,-7268.847448999998
2023-08-20,261057.88947000005,262538.0842786,1480.194808600002
2023-06-10,166220.6415,298558.00967800006,132337.36817800003
2023-08-22,295806.95120000007,209369.9477305999,-86437.00346939999
2023-08-19,278046.52765,266224.4871397,-11822.04051030003
2023-06-29,234272.81516,252435.6264130001,18162.811253000007
2023-06-09,145331.29866000003,299462.950727,154131.65206699993
2023-06-12,190850.28555999996,191473.10074700002,622.8151869999924
2023-09-07,319740.2262,212834.979706,-106905.24649399999
2023-06-14,171840.16003999996,294103.12118400016,122262.96114400002
2023-09-01,191828.03343,264225.92190200003,72397.88847199999
2023-06-23,180714.41954,200833.71595300004,20119.29641299997
2023-07-15,313055.52052999986,255197.63515400002,-57857.88537599998
2023-09-20,180240.65656,189992.31371599995,9751.657155999987
2023-07-29,297855.6908000001,213827.24243639995,-84028.44836359996
2023-09-12,211690.4015,204313.37151650002,-7377.029983499971
2023-06-21,118042.85973,108420.87180499997,-9621.987924999998
2023-09-30,150316.74297,115241.507717,-35075.235253
2023-06-06,155900.37829999998,245491.681653,89591.30335300011
2023-08-21,309495.0,215125.68881900003,-94369.311181
2023-06-07,95067.88008,90040.91127400001,-5026.968805999999
2023-07-06,252885.15117999996,218725.04187600006,-34160.10930399998
2023-07-08,250624.20018000007,205028.79352,-45595.40666
2023-08-04,122064.35032000001,79613.84721499997,-42450.503105
2023-09-22,107219.90179999995,54293.84519299999,-52926.056607
2023-09-24,169845.97495,193802.17062,23956.19567
2023-09-17,93684.03510999997,82955.61726900004,-10728.417840999993
2023-08-26,315746.2413,223065.478912,-92680.76238800002
2023-09-16,111369.90962999997,233544.87444400004,122174.96481399996
2023-08-08,290101.68792,230904.51337600002,-59197.174543999994
2023-07-07,267465.5413299999,240854.76291699996,-26610.778412999996
2023-08-17,299157.14680000005,202952.0347808,-96205.11201920001
2023-07-20,271209.41530000005,206835.44255400004,-64373.97274599999
2023-06-20,146522.90297999998,96328.523319,-50194.379660999984
2023-07-02,243836.20636,268113.62428600003,24277.417925999987
2023-07-03,325701.52999999997,243843.343644,-81858.18635600002
2023-06-05,142991.22914999997,299554.08833999996,156562.85919000002
